family,dpf,treatment,settlement
1,5,adult,53.33333333
1,5,mussel,0
1,5,biofilm,0
1,5,control,0
1,6,adult,80
1,6,mussel,16.66666667
1,6,biofilm,6.666666667
1,6,control,0
1,7,adult,86.66666667
1,7,mussel,40
1,7,biofilm,16.66666667
1,7,control,0
1,8,adult,86.66666667
1,8,mussel,43.33333333
1,8,biofilm,16.66666667
1,8,control,0
1,9,adult,86.66666667
1,9,mussel,43.33333333
1,9,biofilm,23.33333333
1,9,control,0
1,10,adult,86.66666667
1,10,mussel,56.66666667
1,10,biofilm,23.33333333
1,10,control,0
2,5,adult,22.22222222
2,5,mussel,11.11111111
2,5,biofilm,0
2,5,control,2.777777778
2,6,adult,55.55555556
2,6,mussel,47.22222222
2,6,biofilm,2.777777778
2,6,control,2.777777778
2,7,adult,63.88888889
2,7,mussel,52.77777778
2,7,biofilm,2.777777778
2,7,control,2.777777778
2,8,adult,66.66666667
2,8,mussel,58.33333333
2,8,biofilm,5.555555556
2,8,control,2.777777778
2,9,adult,66.66666667
2,9,mussel,61.11111111
2,9,biofilm,8.333333333
2,9,control,2.777777778
2,10,adult,69.44444444
2,10,mussel,61.11111111
2,10,biofilm,8.333333333
2,10,control,2.777777778
3,5,adult,86.11111111
3,5,mussel,22.22222222
3,5,biofilm,11.11111111
3,5,control,0
3,6,adult,91.66666667
3,6,mussel,33.33333333
3,6,biofilm,22.22222222
3,6,control,0
3,7,adult,94.44444444
3,7,mussel,50
3,7,biofilm,38.88888889
3,7,control,0
3,8,adult,94.44444444
3,8,mussel,50
3,8,biofilm,41.66666667
3,8,control,0
3,9,adult,94.44444444
3,9,mussel,52.77777778
3,9,biofilm,41.66666667
3,9,control,0
3,10,adult,94.44444444
3,10,mussel,55.55555556
3,10,biofilm,44.44444444
3,10,control,0
4,5,adult,41.66666667
4,5,mussel,5.555555556
4,5,biofilm,5.555555556
4,5,control,0
4,6,adult,66.66666667
4,6,mussel,13.88888889
4,6,biofilm,5.555555556
4,6,control,0
4,7,adult,75
4,7,mussel,19.44444444
4,7,biofilm,5.555555556
4,7,control,0
4,8,adult,83.33333333
4,8,mussel,25
4,8,biofilm,16.66666667
4,8,control,5.555555556
4,9,adult,86.11111111
4,9,mussel,25
4,9,biofilm,25
4,9,control,13.88888889
4,10,adult,88.88888889
4,10,mussel,30.55555556
4,10,biofilm,33.33333333
4,10,control,16.66666667
5,5,adult,75
5,5,mussel,8.333333333
5,5,biofilm,0
5,5,control,0
5,6,adult,94.44444444
5,6,mussel,25
5,6,biofilm,8.333333333
5,6,control,0
5,7,adult,97.22222222
5,7,mussel,50
5,7,biofilm,8.333333333
5,7,control,2.777777778
5,8,adult,97.22222222
5,8,mussel,66.66666667
5,8,biofilm,25
5,8,control,2.777777778
5,9,adult,97.22222222
5,9,mussel,75
5,9,biofilm,30.55555556
5,9,control,2.777777778
5,10,adult,100
5,10,mussel,83.33333333
5,10,biofilm,41.66666667
5,10,control,2.777777778
6,5,adult,0
6,5,mussel,0
6,5,biofilm,0
6,5,control,0
6,6,adult,61.11111111
6,6,mussel,11.11111111
6,6,biofilm,2.777777778
6,6,control,0
6,7,adult,75
6,7,mussel,38.88888889
6,7,biofilm,11.11111111
6,7,control,0
6,8,adult,88.88888889
6,8,mussel,58.33333333
6,8,biofilm,16.66666667
6,8,control,2.777777778
6,9,adult,91.66666667
6,9,mussel,61.11111111
6,9,biofilm,25
6,9,control,2.777777778
6,10,adult,91.66666667
6,10,mussel,63.88888889
6,10,biofilm,33.33333333
6,10,control,2.777777778
