"Family","DPF","Treatment","Score","Plate","Well","Larva"
"1","5","Control","Swimming",1,"A1","1-1-A1"
"1","5","Control","Swimming",1,"A2","1-1-A2"
"1","5","Nat Biof","Swimming",1,"A3","1-1-A3"
"1","5","Lab Biof","Swimming",1,"A4","1-1-A4"
"1","5","Nat Biof","Swimming",1,"A5","1-1-A5"
"1","5","Lab Biof","Swimming",1,"A6","1-1-A6"
"1","5","Control","Swimming",1,"B1","1-1-B1"
"1","5","Conspecific","Juvenile",1,"B2","1-1-B2"
"1","5","Nat Biof","Swimming",1,"B3","1-1-B3"
"1","5","Conspecific","Missing",1,"B4","1-1-B4"
"1","5","Nat Biof","Swimming",1,"B5","1-1-B5"
"1","5","Control","Swimming",1,"B6","1-1-B6"
"1","5","Conspecific","Juvenile",1,"C1","1-1-C1"
"1","5","Lab Biof","Swimming",1,"C2","1-1-C2"
"1","5","Lab Biof","Swimming",1,"C3","1-1-C3"
"1","5","Nat Biof","Swimming",1,"C4","1-1-C4"
"1","5","Conspecific","Juvenile",1,"C5","1-1-C5"
"1","5","Control","Stuck",1,"C6","1-1-C6"
"1","5","Control","Swimming",1,"D1","1-1-D1"
"1","5","Lab Biof","Swimming",1,"D2","1-1-D2"
"1","5","Conspecific","Juvenile",1,"D3","1-1-D3"
"1","5","Lab Biof","Swimming",1,"D4","1-1-D4"
"1","5","Nat Biof","Swimming",1,"D5","1-1-D5"
"1","5","Conspecific","Missing",1,"D6","1-1-D6"
"1","5","Conspecific","Juvenile",2,"A1","1-2-A1"
"1","5","Control","Swimming",2,"A2","1-2-A2"
"1","5","Control","Swimming",2,"A3","1-2-A3"
"1","5","Nat Biof","Swimming",2,"A4","1-2-A4"
"1","5","Lab Biof","Swimming",2,"A5","1-2-A5"
"1","5","Control","Swimming",2,"A6","1-2-A6"
"1","5","Control","Swimming",2,"B1","1-2-B1"
"1","5","Conspecific","Juvenile",2,"B2","1-2-B2"
"1","5","Conspecific","Missing",2,"B3","1-2-B3"
"1","5","Nat Biof","Swimming",2,"B4","1-2-B4"
"1","5","Lab Biof","Missing",2,"B5","1-2-B5"
"1","5","Conspecific","Missing",2,"B6","1-2-B6"
"1","5","Lab Biof","Swimming",2,"C1","1-2-C1"
"1","5","Nat Biof","Part Meta",2,"C2","1-2-C2"
"1","5","Lab Biof","Missing",2,"C3","1-2-C3"
"1","5","Conspecific","Missing",2,"C4","1-2-C4"
"1","5","Control","Swimming",2,"C5","1-2-C5"
"1","5","Nat Biof","Swimming",2,"C6","1-2-C6"
"1","5","Lab Biof","Swimming",2,"D1","1-2-D1"
"1","5","Conspecific","Swimming",2,"D2","1-2-D2"
